Q2,X,W,Theta,Eb,nu,G1.mes,G1.mes.err,G2.mes,G2.mes.err,G1F1.mes,G1F1.mes.err,G2F1.mes,G2F1.mes.err,sigma_LT.mes,sigma_LT.mes.err,sigma_TT.mes,sigma_TT.mes.err,Experiment
NaN,0.0433,1.1893,NaN,1.147,0.2975,-0.4084,0.0694,0.517,0.1877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0414,1.1973,NaN,1.147,0.3075,-0.4217,0.0718,-0.0957,0.1997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0396,1.2052,NaN,1.147,0.3175,-0.4131,0.0727,-0.1786,0.2124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0379,1.2132,NaN,1.147,0.3276,-0.4153,0.0741,0.3252,0.2245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0363,1.221,NaN,1.147,0.3376,-0.4727,0.0918,0.4046,0.2691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0349,1.2288,NaN,1.147,0.3476,-0.381,0.0933,0.4509,0.2822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0335,1.2365,NaN,1.147,0.3576,-0.2944,0.0908,0.5886,0.2941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0322,1.2441,NaN,1.147,0.3675,-0.3407,0.0908,0.3957,0.3035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0309,1.2518,NaN,1.147,0.3776,-0.3411,0.0926,0.5042,0.3194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0297,1.2593,NaN,1.147,0.3874,-0.3901,0.1014,0.6522,0.3723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0286,1.2669,NaN,1.147,0.3976,-0.2195,0.0928,1.0034,0.3616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0275,1.2744,NaN,1.147,0.4075,-0.3569,0.0931,-0.33,0.3676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0265,1.2819,NaN,1.147,0.4176,-0.1493,0.0991,0.3256,0.3818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0255,1.2892,NaN,1.147,0.4275,-0.0251,0.0925,0.7234,0.3997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0245,1.2971,NaN,1.147,0.4382,-0.3913,0.0915,-0.2203,0.3766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0236,1.3043,NaN,1.147,0.4481,-0.2495,0.1081,0.1298,0.5129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0228,1.3112,NaN,1.147,0.4575,-0.2374,0.1022,-0.2131,0.5001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.022,1.3185,NaN,1.147,0.4676,-0.075,0.1012,-0.3545,0.5163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0213,1.3256,NaN,1.147,0.4775,-0.2554,0.1043,0.4771,0.5403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0205,1.3328,NaN,1.147,0.4875,-0.122,0.1043,0.4023,0.563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0199,1.3391,NaN,1.147,0.4962,-0.2915,0.1251,-0.1044,0.5254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0191,1.347,NaN,1.147,0.5075,-0.1134,0.1372,-0.6112,0.7243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0184,1.3541,NaN,1.147,0.5175,-0.3274,0.1365,0.7206,0.7341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0178,1.3611,NaN,1.147,0.5275,-0.0271,0.1368,0.8344,0.7656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0172,1.368,NaN,1.147,0.5373,-0.2243,0.1471,0.8529,0.8306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0166,1.3753,NaN,1.147,0.5479,-0.1242,0.161,-0.0348,1.0102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.016,1.382,NaN,1.147,0.5575,-0.0673,0.1527,0.6999,0.9873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0155,1.3888,NaN,1.147,0.5675,-0.0883,0.1517,-1.4446,1.0167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0149,1.3957,NaN,1.147,0.5776,0.0117,0.1555,-1.2011,1.0701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0145,1.402,NaN,1.147,0.5868,-0.0478,0.1837,0.8708,0.888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0139,1.4092,NaN,1.147,0.5975,-0.0239,0.178,1.2649,1.3458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0135,1.416,NaN,1.147,0.6075,-0.1412,0.1767,-0.1154,1.3691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.013,1.4227,NaN,1.147,0.6176,-0.1681,0.1822,3.9662,1.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0125,1.4303,NaN,1.147,0.629,-0.3817,0.1812,-0.4743,1.1052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0121,1.4364,NaN,1.147,0.638,-0.667,0.3282,4.5706,1.6534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0117,1.4427,NaN,1.147,0.6476,-0.3251,0.3032,-2.9582,1.5765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0113,1.4492,NaN,1.147,0.6575,-0.5589,0.3124,-1.0761,1.6612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0108,1.4566,NaN,1.147,0.6688,-0.3447,0.2674,-0.1657,1.2984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0105,1.4623,NaN,1.147,0.6775,-0.0594,0.2761,2.3127,2.0404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0101,1.4689,NaN,1.147,0.6876,-0.7566,0.2845,1.4362,2.0503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0097,1.4759,NaN,1.147,0.6985,0.2133,0.2531,-0.2066,1.9868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.1741,1.0528,NaN,2.135,0.1471,-0.086,0.0303,0.0256,0.0211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.1622,1.0617,NaN,2.135,0.1571,-0.0433,0.0312,0.0646,0.0237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.1517,1.0707,NaN,2.135,0.1671,-0.0304,0.0322,0.0196,0.0258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.1425,1.0795,NaN,2.135,0.177,-0.0694,0.034,0.1012,0.0291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.1342,1.0882,NaN,2.135,0.187,0.0102,0.0355,-0.0216,0.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.1265,1.0971,NaN,2.135,0.1973,-0.0672,0.0185,0.0485,0.021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.12,1.1055,NaN,2.135,0.207,-0.1014,0.0197,0.0633,0.0232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.1139,1.1141,NaN,2.135,0.217,-0.0209,0.0195,0.0092,0.0252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.1083,1.1226,NaN,2.135,0.227,-0.0244,0.0254,0.0565,0.0277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.1032,1.131,NaN,2.135,0.237,-0.0594,0.0218,0.1351,0.0313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0985,1.1394,NaN,2.135,0.247,-0.0621,0.0228,0.1048,0.0336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0941,1.1477,NaN,2.135,0.257,-0.0768,0.024,0.0398,0.0363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0901,1.1559,NaN,2.135,0.267,-0.1049,0.0258,0.0603,0.0413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0864,1.1641,NaN,2.135,0.277,-0.0577,0.0267,0.1656,0.0445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.083,1.1723,NaN,2.135,0.287,-0.1918,0.03,0.208,0.049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0797,1.1804,NaN,2.135,0.297,-0.2844,0.0334,0.1992,0.0526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0767,1.1883,NaN,2.135,0.3069,-0.2228,0.0338,0.1382,0.0575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0739,1.1963,NaN,2.135,0.3169,-0.3201,0.0378,0.2667,0.0637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0714,1.2038,NaN,2.135,0.3264,-0.3329,0.0442,0.3894,0.0786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
