Q2,X,W,Theta,Eb,nu,G1.mes,G1.mes.err,G2.mes,G2.mes.err,G1F1.mes,G1F1.mes.err,G2F1.mes,G2F1.mes.err,sigma_LT.mes,sigma_LT.mes.err,sigma_TT.mes,sigma_TT.mes.err,Experiment
,0.0087,1.8036,,2.135,1.2754,-0.3328,0.2029,2.1826,3.6158,,,,,,,,,7
,0.0085,1.8089,,2.135,1.2855,-0.5184,0.2054,-4.5383,3.7105,,,,,,,,,7
,0.0083,1.8141,,2.135,1.2954,-0.1154,0.2029,6.8053,3.7789,,,,,,,,,7
,0.0082,1.8194,,2.135,1.3055,-0.2256,0.2096,1.7428,3.934,,,,,,,,,7
,0.008,1.8245,,2.135,1.3153,-0.2863,0.2248,-0.498,4.295,,,,,,,,,7
,0.0079,1.8298,,2.135,1.3255,-0.2289,0.246,-0.307,4.3177,,,,,,,,,7
,0.0077,1.8351,,2.135,1.3357,-0.2324,0.2488,-0.3397,4.4404,,,,,,,,,7
,0.0076,1.8402,,2.135,1.3456,-0.2358,0.2515,-0.3737,4.5631,,,,,,,,,7
,0.0074,1.8454,,2.135,1.3557,-0.2393,0.2543,-0.4095,4.692,,,,,,,,,7
,0.0073,1.8506,,2.135,1.3658,-0.2428,0.257,-0.4469,4.8248,,,,,,,,,7
,0.0071,1.8557,,2.135,1.3757,-0.2463,0.2598,-0.4859,4.9589,,,,,,,,,7
,0.007,1.8609,,2.135,1.3859,-0.2499,0.2626,-0.5271,5.1013,,,,,,,,,7
,0.0068,1.866,,2.135,1.3959,-0.2535,0.2655,-0.5699,5.2452,,,,,,,,,7
