Q2,W,A1,dA1(stat),dA1(sys),g1,dg1(stat),dg1(sys),g1/F1,dg1/F1(stat),dg1/F1(sys)
0.1197,2.0198,-0.12002,0.17709,0.02174,-0.18985,0.26197,0.03257,-0.12169,0.17055,0.02137
0.11926,2.0464,0.01035,0.34525,0.31957,0.00394,0.52599,0.52497,0.00427,0.33339,0.31027
0.12559,2.3441,-0.40636,0.76004,0.079,-0.81021,1.5135,0.15318,-0.40141,0.74536,0.07737
0.12513,2.384,0.15142,0.37944,0.03926,0.30563,0.77983,0.08082,0.14595,0.37267,0.03858
0.12353,2.4218,-0.49,0.2523,0.05132,-1.0298,0.53369,0.10965,-0.48426,0.24816,0.05048
0.12237,2.4619,-0.6038,0.19492,0.05361,-1.3194,0.42446,0.1165,-0.59705,0.19198,0.05277
0.1211,2.5004,0.01953,0.16894,0.03528,0.03715,0.37716,0.07764,0.01702,0.16659,0.03477
0.12068,2.5416,0.03716,0.14434,0.01551,0.07979,0.32969,0.03542,0.03462,0.14248,0.01536
0.12,2.5806,0.02216,0.13297,0.02015,0.04641,0.30943,0.04733,0.01995,0.13137,0.01993
0.11959,2.6201,-0.33058,0.13997,0.02283,-0.78441,0.33108,0.05423,-0.32865,0.1384,0.02257
0.1197,2.6545,-0.05427,0.18703,2.8538,-0.1347,0.44818,6.918,-0.05543,0.18505,2.8249
0.14351,1.1406,0.21275,0.48361,0.16813,0.04625,0.07658,0.03039,0.14205,0.19223,0.0854
0.14347,1.1806,-0.50078,0.16984,0.15983,-0.21935,0.09957,0.0658,-0.22234,0.07936,0.04959
0.1434,1.2201,-0.43305,0.10922,0.15434,-0.42355,0.10559,0.08658,-0.22974,0.05765,0.05368
0.14338,1.2596,-0.35687,0.11963,0.12677,-0.26596,0.09873,0.0739,-0.19077,0.07012,0.04869
0.14348,1.2995,-0.17848,0.14289,0.08617,-0.06133,0.08924,0.04739,-0.07245,0.09158,0.04563
0.14366,1.3397,0.04424,0.15286,0.04646,0.07502,0.08148,0.04117,0.10326,0.10524,0.05311
0.1436,1.3798,-0.11677,0.14988,0.02378,0.00147,0.07688,0.03741,0.00174,0.1093,0.05101
0.14349,1.4198,-0.1489,0.14184,0.02472,-0.01307,0.07687,0.02787,-0.02082,0.10838,0.03883
