Q2,x,Eb,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
2.47,0.23,16.2,-0.4096,0.5004,0.0463,0.5025,-0.23,0.281,0.026,0.2822,-0.228,0.281,0.027,0.2823
3.73,0.23,29.1,-0.6652,0.3131,0.0445,0.3162,-0.374,0.176,0.025,0.1778,-0.398,0.189,0.027,0.1909
6.23,0.23,29.1,0.0242,0.2071,0.0362,0.2102,0.014,0.12,0.021,0.1218,0.067,0.123,0.022,0.125
1.35,0.259,16.2,0.0167,0.6951,0.0545,0.6972,0.011,0.459,0.036,0.4604,0.014,0.457,0.037,0.4585
2.57,0.259,16.2,-0.5761,0.4801,0.0427,0.482,-0.378,0.315,0.028,0.3162,-0.373,0.312,0.029,0.3133
3.85,0.259,29.1,-0.4863,0.3106,0.0409,0.3133,-0.321,0.205,0.027,0.2068,-0.529,0.225,0.029,0.2269
6.6,0.259,29.1,-0.6153,0.1998,0.035,0.2028,-0.422,0.137,0.024,0.1391,-0.491,0.141,0.025,0.1432
1.37,0.292,16.2,0.7074,0.6969,0.0473,0.6985,0.538,0.53,0.036,0.5312,0.54,0.529,0.037,0.5303
2.67,0.292,16.2,0.2979,0.4558,0.0398,0.4575,0.232,0.355,0.031,0.3564,0.234,0.355,0.031,0.3564
3.98,0.292,29.1,0.0178,0.3085,0.0394,0.311,0.014,0.243,0.031,0.245,-0.026,0.273,0.033,0.275
6.97,0.292,29.1,-0.0617,0.1911,0.0339,0.1941,-0.051,0.158,0.028,0.1605,-0.033,0.164,0.029,0.1665
2.76,0.329,16.2,0.8821,0.4347,0.0425,0.4368,0.83,0.409,0.04,0.411,0.829,0.408,0.041,0.4101
4.09,0.329,29.1,0.1753,0.3099,0.0355,0.3119,0.168,0.297,0.034,0.2989,0.248,0.343,0.036,0.3449
7.33,0.329,29.1,-0.0305,0.1831,0.0325,0.186,-0.031,0.186,0.033,0.1889,0.009,0.196,0.035,0.1991
2.85,0.37,16.2,-0.443,0.4136,0.0321,0.4148,-0.511,0.477,0.037,0.4784,-0.515,0.476,0.038,0.4775
4.2,0.37,29.1,0.2695,0.3114,0.0311,0.3129,0.321,0.371,0.037,0.3728,0.469,0.443,0.04,0.4448
7.69,0.37,29.1,0.1694,0.1757,0.0297,0.1782,0.217,0.225,0.038,0.2282,0.243,0.239,0.04,0.2423
2.93,0.416,16.2,-0.2051,0.393,0.0242,0.3937,-0.297,0.569,0.035,0.5701,-0.31,0.569,0.037,0.5702
4.3,0.416,29.1,-0.1953,0.3106,0.0256,0.3117,-0.298,0.474,0.039,0.4756,-0.02,0.588,0.043,0.5896
8.03,0.416,29.1,-0.2475,0.1666,0.024,0.1683,-0.413,0.278,0.04,0.2809,-0.392,0.3,0.043,0.3031
3.01,0.468,16.2,0.5283,0.3677,0.0203,0.3683,0.99,0.689,0.038,0.69,0.962,0.689,0.04,0.6902
4.4,0.468,29.1,-0.5923,0.3087,0.0197,0.3093,-1.205,0.628,0.04,0.6293,-0.94,0.814,0.044,0.8152
8.37,0.468,29.1,-0.0337,0.1557,0.0192,0.1569,-0.077,0.356,0.044,0.3587,-0.064,0.392,0.048,0.3949
4.47,0.526,29.1,-0.079,0.2957,0.0134,0.296,-0.224,0.838,0.038,0.8389,-1.063,1.15,0.044,1.1508
8.67,0.526,29.1,0.0773,0.1417,0.0141,0.1424,0.257,0.471,0.047,0.4733,0.304,0.53,0.053,0.5326
4.55,0.592,29.1,0.0583,0.2709,0.0077,0.271,0.243,1.129,0.032,1.1295,1.249,1.639,0.042,1.6395
8.98,0.592,29.1,-0.0624,0.1206,0.009,0.1209,-0.331,0.64,0.048,0.6418,-1.283,0.744,0.057,0.7462
9.26,0.666,29.1,-0.0201,0.0915,0.0048,0.0916,-0.192,0.876,0.046,0.8772,0.112,1.078,0.059,1.0796
9.52,0.749,29.1,0.0283,0.0614,0.0036,0.0615,0.569,1.233,0.073,1.2352,0.613,1.605,0.088,1.6074
