x,Q2,W,Eb,g1,dg1(stat),dg1(sys),dg1(model),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot),Experiment
0.0782,0.0844,1.37,,,,,,,,,,,0.0217,0.1171,0.0765,0.1399,CLAS_EG1b
0.0744,0.0844,1.39,,,,,,,,,,,-0.0024,0.1097,0.0667,0.1284,CLAS_EG1b
0.0709,0.0844,1.41,,,,,,,,,,,0.0578,0.1045,0.0584,0.1197,CLAS_EG1b
0.0676,0.0844,1.43,,,,,,,,,,,-0.1135,0.0966,0.0508,0.1091,CLAS_EG1b
0.0647,0.0844,1.45,,,,,,,,,,,-0.0434,0.09,0.0459,0.101,CLAS_EG1b
0.0619,0.0844,1.47,,,,,,,,,,,-0.2401,0.0772,0.0427,0.0882,CLAS_EG1b
0.0593,0.0844,1.49,,,,,,,,,,,-0.1242,0.0665,0.0378,0.0765,CLAS_EG1b
0.0569,0.0844,1.51,,,,,,,,,,,-0.1164,0.0628,0.0346,0.0717,CLAS_EG1b
0.0547,0.0844,1.53,,,,,,,,,,,-0.0401,0.067,0.0316,0.0741,CLAS_EG1b
0.0526,0.0844,1.55,,,,,,,,,,,0.0604,0.0748,0.0304,0.0807,CLAS_EG1b
0.0506,0.0844,1.57,,,,,,,,,,,0.1317,0.0781,0.0291,0.0833,CLAS_EG1b
0.0488,0.0844,1.59,,,,,,,,,,,-0.0447,0.0796,0.0227,0.0828,CLAS_EG1b
0.047,0.0844,1.61,,,,,,,,,,,0.0837,0.08,0.0217,0.0829,CLAS_EG1b
0.0454,0.0844,1.63,,,,,,,,,,,-0.0311,0.079,0.0187,0.0812,CLAS_EG1b
0.0438,0.0844,1.65,,,,,,,,,,,0.004,0.0763,0.0189,0.0786,CLAS_EG1b
0.2238,0.101,1.11,,,,,,,,,,,0.2934,0.8072,0.5743,0.9907,CLAS_EG1b
0.2036,0.101,1.13,,,,,,,,,,,0.1228,0.4061,0.3653,0.5462,CLAS_EG1b
0.1864,0.101,1.15,,,,,,,,,,,-0.1082,0.2361,0.2353,0.3333,CLAS_EG1b
0.1717,0.101,1.17,,,,,,,,,,,-0.0984,0.161,0.1451,0.2167,CLAS_EG1b
0.159,0.101,1.19,,,,,,,,,,,-0.4573,0.1114,0.1077,0.1549,CLAS_EG1b
0.1478,0.101,1.21,,,,,,,,,,,-0.2414,0.0902,0.0832,0.1227,CLAS_EG1b
0.1379,0.101,1.23,,,,,,,,,,,-0.3803,0.0813,0.0826,0.1159,CLAS_EG1b
0.1292,0.101,1.25,,,,,,,,,,,-0.2691,0.0846,0.0851,0.12,CLAS_EG1b
0.1214,0.101,1.27,,,,,,,,,,,-0.2713,0.0928,0.0943,0.1323,CLAS_EG1b
0.1143,0.101,1.29,,,,,,,,,,,-0.0921,0.0979,0.098,0.1385,CLAS_EG1b
0.108,0.101,1.31,,,,,,,,,,,-0.0091,0.1106,0.0997,0.1489,CLAS_EG1b
0.1022,0.101,1.33,,,,,,,,,,,0.1359,0.112,0.0958,0.1474,CLAS_EG1b
0.097,0.101,1.35,,,,,,,,,,,-0.0239,0.1155,0.0887,0.1456,CLAS_EG1b
0.0921,0.101,1.37,,,,,,,,,,,-0.2712,0.1107,0.0797,0.1364,CLAS_EG1b
0.0877,0.101,1.39,,,,,,,,,,,0.0973,0.1098,0.0683,0.1293,CLAS_EG1b
0.0837,0.101,1.41,,,,,,,,,,,0.0803,0.1031,0.0588,0.1187,CLAS_EG1b
0.0799,0.101,1.43,,,,,,,,,,,-0.0116,0.094,0.0505,0.1067,CLAS_EG1b
0.0764,0.101,1.45,,,,,,,,,,,0.1392,0.0848,0.0448,0.0959,CLAS_EG1b
0.0732,0.101,1.47,,,,,,,,,,,-0.0341,0.0786,0.038,0.0873,CLAS_EG1b
0.0702,0.101,1.49,,,,,,,,,,,0.2157,0.0716,0.0351,0.0797,CLAS_EG1b
0.0674,0.101,1.51,,,,,,,,,,,0.1277,0.0663,0.0309,0.0731,CLAS_EG1b
0.0647,0.101,1.53,,,,,,,,,,,-0.0723,0.067,0.0281,0.0727,CLAS_EG1b
0.0623,0.101,1.55,,,,,,,,,,,0.0497,0.0711,0.0267,0.0759,CLAS_EG1b
0.06,0.101,1.57,,,,,,,,,,,0.1439,0.0744,0.0272,0.0792,CLAS_EG1b
0.0578,0.101,1.59,,,,,,,,,,,-0.0454,0.0776,0.0223,0.0807,CLAS_EG1b
0.0558,0.101,1.61,,,,,,,,,,,0.049,0.0802,0.0212,0.083,CLAS_EG1b
0.0538,0.101,1.63,,,,,,,,,,,0.1146,0.073,0.0207,0.0759,CLAS_EG1b
0.2551,0.12,1.11,,,,,,,,,,,-0.099,0.7716,0.5934,0.9734,CLAS_EG1b
0.2329,0.12,1.13,,,,,,,,,,,0.7889,0.4061,0.3593,0.5422,CLAS_EG1b
0.214,0.12,1.15,,,,,,,,,,,-0.1576,0.2379,0.2345,0.334,CLAS_EG1b
0.1976,0.12,1.17,,,,,,,,,,,-0.3647,0.1634,0.1444,0.2181,CLAS_EG1b
0.1834,0.12,1.19,,,,,,,,,,,-0.3677,0.1142,0.1062,0.1559,CLAS_EG1b
0.1708,0.12,1.21,,,,,,,,,,,-0.3655,0.0919,0.089,0.1279,CLAS_EG1b
0.1597,0.12,1.23,,,,,,,,,,,-0.233,0.0835,0.0789,0.1149,CLAS_EG1b
0.1499,0.12,1.25,,,,,,,,,,,-0.3601,0.0849,0.0892,0.1231,CLAS_EG1b
0.141,0.12,1.27,,,,,,,,,,,-0.1021,0.0982,0.0917,0.1344,CLAS_EG1b
0.133,0.12,1.29,,,,,,,,,,,-0.1973,0.1077,0.1011,0.1477,CLAS_EG1b
0.1257,0.12,1.31,,,,,,,,,,,-0.093,0.118,0.1016,0.1557,CLAS_EG1b
0.1191,0.12,1.33,,,,,,,,,,,0.2203,0.1185,0.0966,0.1529,CLAS_EG1b
0.1131,0.12,1.35,,,,,,,,,,,0.1823,0.1188,0.0891,0.1485,CLAS_EG1b
0.1076,0.12,1.37,,,,,,,,,,,0.252,0.1146,0.0789,0.1391,CLAS_EG1b
0.1025,0.12,1.39,,,,,,,,,,,0.1946,0.1122,0.0689,0.1317,CLAS_EG1b
0.0979,0.12,1.41,,,,,,,,,,,0.0236,0.1044,0.0593,0.1201,CLAS_EG1b
0.0935,0.12,1.43,,,,,,,,,,,-0.0655,0.0966,0.0502,0.1089,CLAS_EG1b
0.0895,0.12,1.45,,,,,,,,,,,-0.0962,0.0899,0.0423,0.0994,CLAS_EG1b
0.0858,0.12,1.47,,,,,,,,,,,0.0561,0.0786,0.0354,0.0862,CLAS_EG1b
0.0823,0.12,1.49,,,,,,,,,,,0.2203,0.0725,0.0309,0.0788,CLAS_EG1b
0.079,0.12,1.51,,,,,,,,,,,0.0462,0.0672,0.0262,0.0721,CLAS_EG1b
0.076,0.12,1.53,,,,,,,,,,,0.0093,0.0701,0.0246,0.0743,CLAS_EG1b
0.0731,0.12,1.55,,,,,,,,,,,0.051,0.0743,0.0247,0.0783,CLAS_EG1b
0.0705,0.12,1.57,,,,,,,,,,,0.0077,0.0789,0.0237,0.0824,CLAS_EG1b
