Q2,x,W,theta,Eb,nu,g1,dg1(stat),dg1(sys),dg1(model),dg1(tot),g2,dg2(stat),dg2(sys),dg2(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot),g2/F1,dg2/F1(stat),dg2/F1(sys),dg2/F1(tot),sigma_LT,dsigma_LT(stat),dsigma_LT(sys),dsigma_LT(tot),sigma_TT,dsigma_TT(stat),dsigma_TT(sys),dsigma_TT(tot),Experiment
2.97,0.1059,,,,,-0.1298,0.0427,0.0109,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
3.59,0.1354,,,,,-0.0927,0.0375,0.0092,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
4.31,0.173,,,,,-0.0576,0.033,0.0076,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
5.13,0.2209,,,,,-0.0156,0.029,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
6.11,0.282,,,,,-0.0371,0.025,0.0048,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
7.24,0.3598,,,,,0.0157,0.021,0.0023,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
8.53,0.4583,,,,,-0.0026,0.0168,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
10.16,0.5819,,,,,0.0026,0.0125,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
12.21,0.7248,,,,,0.0025,0.0071,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
5.0,0.015,,,48.35,,-1.103,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E155
5.0,0.025,,,48.35,,-0.277,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E155
5.0,0.035,,,48.35,,-0.194,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E155
5.0,0.05,,,48.35,,-0.178,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E155
5.0,0.08,,,48.35,,-0.148,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E155
5.0,0.125,,,48.35,,-0.065,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E155
5.0,0.175,,,48.35,,-0.047,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E155
5.0,0.25,,,48.35,,-0.017,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E155
5.0,0.35,,,48.35,,0.016,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E155
5.0,0.5,,,48.35,,0.003,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E155
5.0,0.75,,,48.35,,0.004,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLAC_E155
1.22,0.015,,,48.35,,-2.7403,0.8111,,,,,,,,-0.125,0.037,0.006,0.0375,,,,,,,,,,,,,,,,,SLAC_E155
1.59,0.025,,,48.35,,-0.5393,0.4825,,,,,,,,-0.038,0.034,0.007,0.0347,,,,,,,,,,,,,,,,,SLAC_E155
2.05,0.035,,,48.35,,-0.429,0.3646,,,,,,,,-0.04,0.034,0.008,0.0349,,,,,,,,,,,,,,,,,SLAC_E155
2.58,0.05,,,48.35,,-0.4312,0.2874,,,,,,,,-0.054,0.036,0.011,0.0376,,,,,,,,,,,,,,,,,SLAC_E155
4.01,0.05,,,48.35,,-7.4305,3.4885,,,,,,,,-0.852,0.4,0.012,0.4002,,,,,,,,,,,,,,,,,SLAC_E155
3.24,0.08,,,48.35,,-0.2037,0.1985,,,,,,,,-0.039,0.038,0.016,0.0412,,,,,,,,,,,,,,,,,SLAC_E155
5.36,0.08,,,48.35,,-0.8865,0.271,,,,,,,,-0.157,0.048,0.017,0.0509,,,,,,,,,,,,,,,,,SLAC_E155
4.03,0.125,,,48.35,,-0.117,0.179,,,,,,,,-0.034,0.052,0.024,0.0573,,,,,,,,,,,,,,,,,SLAC_E155
7.17,0.125,,,48.35,,-0.2396,0.1234,,,,,,,,-0.066,0.034,0.025,0.0422,,,,,,,,,,,,,,,,,SLAC_E155
10.99,0.125,,,48.35,,-1.5885,0.8896,,,,,,,,-0.425,0.238,0.028,0.2396,,,,,,,,,,,,,,,,,SLAC_E155
4.62,0.175,,,48.35,,-0.2135,0.2571,,,,,,,,-0.088,0.106,0.035,0.1116,,,,,,,,,,,,,,,,,SLAC_E155
8.9,0.175,,,48.35,,-0.1915,0.1393,,,,,,,,-0.077,0.056,0.036,0.0666,,,,,,,,,,,,,,,,,SLAC_E155
13.19,0.175,,,48.35,,-0.0251,0.274,,,,,,,,-0.01,0.109,0.039,0.1158,,,,,,,,,,,,,,,,,SLAC_E155
5.06,0.25,,,48.35,,-0.011,0.1786,,,,,,,,-0.007,0.114,0.053,0.1257,,,,,,,,,,,,,,,,,SLAC_E155
10.64,0.25,,,48.35,,-0.0412,0.0855,,,,,,,,-0.027,0.056,0.055,0.0785,,,,,,,,,,,,,,,,,SLAC_E155
17.21,0.25,,,48.35,,-0.0,0.0,,,,,,,,-0.069,0.075,0.057,0.0942,,,,,,,,,,,,,,,,,SLAC_E155
5.51,0.35,,,48.35,,0.1493,0.2621,,,,,,,,0.164,0.288,0.079,0.2986,,,,,,,,,,,,,,,,,SLAC_E155
