Q2,x,Eb,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
2.0,0.749,,0.08,0.025,0.002,0.0251,,,,,,,,
3.0,0.031,,0.294,0.157,0.04,0.162,,,,,,,,
3.0,0.035,,0.504,0.103,0.035,0.1088,,,,,,,,
3.0,0.039,,0.304,0.083,0.028,0.0876,,,,,,,,
3.0,0.044,,0.357,0.069,0.024,0.0731,,,,,,,,
3.0,0.049,,0.357,0.058,0.02,0.0614,,,,,,,,
3.0,0.056,,0.332,0.049,0.018,0.0522,,,,,,,,
3.0,0.063,,0.283,0.041,0.016,0.044,,,,,,,,
3.0,0.071,,0.309,0.036,0.014,0.0386,,,,,,,,
3.0,0.079,,0.322,0.032,0.014,0.0349,,,,,,,,
3.0,0.09,,0.27,0.025,0.012,0.0277,,,,,,,,
3.0,0.101,,0.306,0.023,0.012,0.0259,,,,,,,,
3.0,0.113,,0.276,0.021,0.011,0.0237,,,,,,,,
3.0,0.128,,0.263,0.019,0.01,0.0215,,,,,,,,
3.0,0.144,,0.238,0.018,0.009,0.0201,,,,,,,,
3.0,0.162,,0.25,0.017,0.009,0.0192,,,,,,,,
3.0,0.182,,0.238,0.016,0.008,0.0179,,,,,,,,
3.0,0.205,,0.229,0.014,0.008,0.0161,,,,,,,,
3.0,0.23,,0.204,0.013,0.008,0.0153,,,,,,,,
3.0,0.259,,0.241,0.014,0.008,0.0161,,,,,,,,
3.0,0.292,,0.195,0.014,0.007,0.0157,,,,,,,,
3.0,0.329,,0.174,0.014,0.006,0.0152,,,,,,,,
3.0,0.37,,0.153,0.014,0.005,0.0149,,,,,,,,
3.0,0.416,,0.164,0.013,0.005,0.0139,,,,,,,,
3.0,0.468,,0.134,0.012,0.004,0.0126,,,,,,,,
3.0,0.526,,0.115,0.014,0.003,0.0143,,,,,,,,
3.0,0.592,,0.078,0.014,0.002,0.0141,,,,,,,,
3.0,0.666,,0.046,0.016,0.001,0.016,,,,,,,,
3.0,0.749,,0.046,0.014,0.001,0.014,,,,,,,,
5.0,0.031,,0.322,0.172,0.044,0.1775,,,,,,,,
5.0,0.035,,0.552,0.113,0.041,0.1202,,,,,,,,
5.0,0.039,,0.333,0.091,0.031,0.0961,,,,,,,,
5.0,0.044,,0.39,0.075,0.027,0.0797,,,,,,,,
5.0,0.049,,0.389,0.063,0.023,0.0671,,,,,,,,
5.0,0.056,,0.362,0.053,0.02,0.0566,,,,,,,,
5.0,0.063,,0.308,0.045,0.017,0.0481,,,,,,,,
5.0,0.071,,0.336,0.039,0.016,0.0422,,,,,,,,
5.0,0.079,,0.349,0.034,0.015,0.0372,,,,,,,,
5.0,0.09,,0.292,0.027,0.013,0.03,,,,,,,,
